"English","Italian","IPA","Tags","Notes"
"Good morning","Buongiorno","[ˌbwɔnˈdʒorno]","Greetings_Formal"
"Good evening","Buonasera","[ˌbwɔnaˈseːra]","Greetings_Formal"
"Good night","Buonanotte","[ˌbwɔnaˈnɔtte]","Greetings_Formal"
"Hello","Salve","[ˈsalve]","Greetings_Formal"
"How are you?","Come sta?","[ˈkome ˈsta]","Greetings_Formal"
"Pleased to meet you","Piacere di conoscerLa","[pjaˈtʃeːre di koˈnoʃerla]","Greetings_Formal"
"It’s a pleasure to meet you","È un piacere conoscerLa","[ɛ un pjaˈtʃeːre koˈnoʃerla]","Greetings_Formal"
"May I introduce myself?","Posso presentarmi?","[ˈposso prezenˈtarmi]","Greetings_Formal"
"Allow me to introduce myself","Mi permetta di presentarmi","[mi perˈmetta di prezenˈtarmi]","Greetings_Formal"
"What is your name?","Come si chiama?","[ˈkome si ˈkjama]","Greetings_Formal"
"My name is...","Mi chiamo...","[mi ˈkjamo]","Greetings_Formal"
"Where are you from?","Di dov’è?","[di doˈvɛ]","Greetings_Formal"
"I am from...","Vengo da...","[ˈvɛŋɡo da]","Greetings_Formal"
"Where do you live?","Dove abita?","[ˈdove ˈabita]","Greetings_Formal"
"I live in...","Abito a...","[ˈabito a]","Greetings_Formal"
"How do you do?","Come va?","[ˈkome va]","Greetings_Formal"
"How have you been?","Come sta ultimamente?","[ˈkome sta ulˌtimaˈmente]","Greetings_Formal"
"How is your day going?","Come procede la Sua giornata?","[ˈkome proˈtʃɛde la ˈsuːa dʒorˈnata]","Greetings_Formal"
"Nice to see you","È un piacere vederLa","[ɛ un pjaˈtʃeːre veˈderla]","Greetings_Formal"
"Welcome","Benvenuto/a","[benveˈnuto / benveˈnuta]","Greetings_Formal"
"Welcome, Sir/Madam","Benvenuto, Signore/Signora","[benveˈnuto siˈɲore / benveˈnuta siˈɲora]","Greetings_Formal"
"How can I help you?","Come posso aiutarLa?","[ˈkome ˈposso ajutarla]","Greetings_Formal"
"Do you need anything?","Ha bisogno di qualcosa?","[a biˈzoɲɲo di kwalˈkosa]","Greetings_Formal"
"Please, take a seat","Prego, si accomodi","[ˈpreɡo si akˈkɔmodi]","Greetings_Formal"
"Can I offer you something?","Posso offrirLe qualcosa?","[ˈposso ofˈfrirle kwalˈkosa]","Greetings_Formal"
"Would you like something to drink?","Desidera qualcosa da bere?","[deˈzidera kwalˈkosa da ˈbere]","Greetings_Formal"
"Would you like something to eat?","Desidera qualcosa da mangiare?","[deˈzidera kwalˈkosa da manˈdʒare]","Greetings_Formal"
"How was your trip?","Com’è andato il viaggio?","[komˈɛ anˈdato il ˈvjaddʒo]","Greetings_Formal"
"Did you have a good journey?","Ha fatto buon viaggio?","[a ˈfatto bwɔn ˈvjaddʒo]","Greetings_Formal"
"Thank you for coming","Grazie per essere venuto/a","[ˈɡrattsje per ˈɛssere veˈnuto / veˈnuta]","Greetings_Formal"
"Thank you for your time","Grazie per il Suo tempo","[ˈɡrattsje per il ˈsuːo ˈtɛmːpo]","Greetings_Formal"
"May I help you?","Posso aiutarLa?","[ˈposso ajutarla]","Greetings_Formal"
"Can I be of assistance?","Posso esserLe d’aiuto?","[ˈposso ˈɛsserle daˈjuto]","Greetings_Formal"
"Is there anything I can do for you?","C’è qualcosa che posso fare per Lei?","[tʃɛ kwalˈkosa ke ˈposso ˈfare per ˈlɛi]","Greetings_Formal"
"How may I address you?","Come posso rivolgerLe la parola?","[ˈkome ˈposso riˈvɔldʒerle la paˈrola]","Greetings_Formal"
"Do you speak English?","Parla inglese?","[ˈparla iŋˈɡleːze]","Greetings_Formal"
"Do you understand Italian?","Capisce l’italiano?","[kaˈpiʃʃe litaˈljano]","Greetings_Formal"
"Could you repeat that, please?","Può ripetere, per favore?","[pwɔ riˈpɛtere per faˈvore]","Greetings_Formal"
"Could you speak more slowly?","Può parlare più lentamente?","[pwɔ parˈlare pju lentaˈmente]","Greetings_Formal"
"Excuse me (to get attention)","Mi scusi","[mi ˈskuzi]","Greetings_Formal"
"Excuse me (to pass by)","Permesso","[perˈmesso]","Greetings_Formal"
"Sorry to bother you","Mi scusi per il disturbo","[mi ˈskuzi per il diˈsturbo]","Greetings_Formal"
"May I ask you a question?","Posso farLe una domanda?","[ˈposso ˈfarle una doˈmanda]","Greetings_Formal"
"Would you mind repeating?","Le dispiace ripetere?","[le diˈspjatʃe riˈpɛtere]","Greetings_Formal"
"Could you write it down?","Può scriverlo, per favore?","[pwɔ ˈskrivɛrlo per faˈvore]","Greetings_Formal"
"May I come in?","Posso entrare?","[ˈposso enˈtrare]","Greetings_Formal"
"Please, come in","Prego, entri pure","[ˈpreɡo ˈentri ˈpure]","Greetings_Formal"
"Please, have a seat","Prego, si sieda","[ˈpreɡo si ˈsjɛda]","Greetings_Formal"
"Please, go ahead","Prego, faccia pure","[ˈpreɡo ˈfattʃa ˈpure]","Greetings_Formal"
"After you","Dopo di Lei","[ˈdɔpo di ˈlɛi]","Greetings_Formal"
"How long have you been here?","Da quanto tempo è qui?","[da ˈkwanto ˈtɛmːpo ɛ kwi]","Greetings_Formal"
"Is this your first time here?","È la prima volta che viene qui?","[ɛ la ˈprima ˈvɔlta ke ˈvjɛne kwi]","Greetings_Formal"
"Welcome back","Bentornato/a","[bentorˈnato / bentorˈnata]","Greetings_Formal"
"May I offer you my business card?","Posso offrirLe il mio biglietto da visita?","[ˈposso ofˈfrirle il ˈmio biʎˈʎetto da viˈzita]","Greetings_Formal"
"Here is my business card","Ecco il mio biglietto da visita","[ˈɛkːo il ˈmio biʎˈʎetto da viˈzita]","Greetings_Formal"
"May I ask your name?","Posso sapere il Suo nome?","[ˈposso saˈpere il ˈsuːo ˈnome]","Greetings_Formal"
"May I introduce Mr./Ms. ...","Posso presentare il signor/la signora ...","[ˈposso prezenˈtare il siˈɲor / la siˈɲora]","Greetings_Formal"
"Let me introduce you to...","Le presento...","[le preˈzento]","Greetings_Formal"
"How is your family?","Come sta la Sua famiglia?","[ˈkome sta la ˈsuːa faˈmiʎʎa]","Greetings_Formal"
"How is your work going?","Come va il Suo lavoro?","[ˈkome va il ˈsuːo laˈvoro]","Greetings_Formal"
"How was your weekend?","Com’è stato il Suo fine settimana?","[komˈɛ ˈstato il ˈsuːo ˈfine settiˈmana]","Greetings_Formal"
"How was your day?","Com’è stata la Sua giornata?","[komˈɛ ˈstata la ˈsuːa dʒorˈnata]","Greetings_Formal"
"Thank you for your hospitality","Grazie per la Sua ospitalità","[ˈɡrattsje per la ˈsuːa ospitaliˈta]","Greetings_Formal"
"It’s nice to meet you in person","È un piacere incontrarLa di persona","[ɛ un pjaˈtʃeːre iŋkonˈtrarla di perˈsona]","Greetings_Formal"
"I hope you are well","Spero che stia bene","[ˈspɛro ke ˈstia ˈbene]","Greetings_Formal"
"I hope you had a good day","Spero abbia passato una buona giornata","[ˈspɛro ˈabbja pasˈsato una ˈbwɔna dʒorˈnata]","Greetings_Formal"
"I hope everything is fine","Spero che vada tutto bene","[ˈspɛro ke ˈvada ˈtutto ˈbene]","Greetings_Formal"
"Do you have a moment?","Ha un momento?","[a un moˈmento]","Greetings_Formal"
"Can we talk?","Possiamo parlare?","[posˈsjamo parˈlare]","Greetings_Formal"
"Would you like to sit here?","Desidera sedersi qui?","[deˈzidera seˈdersi kwi]","Greetings_Formal"
"Would you like to join us?","Vuole unirsi a noi?","[ˈvwɔle uˈnirsi a ˈnoi]","Greetings_Formal"
"Would you like to come in?","Vuole entrare?","[ˈvwɔle enˈtrare]","Greetings_Formal"
"Would you like to wait here?","Vuole aspettare qui?","[ˈvwɔle aspetˈtare kwi]","Greetings_Formal"
"May I offer you help?","Posso offrirLe il mio aiuto?","[ˈposso ofˈfrirle il ˈmio aˈjuto]","Greetings_Formal"
"Is everything okay?","Va tutto bene?","[va ˈtutto ˈbene]","Greetings_Formal"
"How can I address you?","Come posso chiamarLa?","[ˈkome ˈposso kjaˈmarla]","Greetings_Formal"
"May I know your surname?","Posso sapere il Suo cognome?","[ˈposso saˈpere il ˈsuːo koˈɲome]","Greetings_Formal"
"How should I address you?","Come devo rivolgermi a Lei?","[ˈkome ˈdevo riˈvɔldʒermi a ˈlɛi]","Greetings_Formal"
"It’s an honor to meet you","È un onore conoscerLa","[ɛ un oˈnore koˈnoʃerla]","Greetings_Formal"
"I am honored to meet you","Sono onorato/a di conoscerLa","[ˈsono onoraˈto / onoraˈta di koˈnoʃerla]","Greetings_Formal"
"I appreciate your time","Apprezzo il Suo tempo","[apˈprɛtso il ˈsuːo ˈtɛmːpo]","Greetings_Formal"
"Thank you for your attention","Grazie per la Sua attenzione","[ˈɡrattsje per la ˈsuːa atːentˈtsjone]","Greetings_Formal"
"Thank you for your kindness","Grazie per la Sua gentilezza","[ˈɡrattsje per la ˈsuːa dʒentiˈlettsa]","Greetings_Formal"
"Thank you for your patience","Grazie per la Sua pazienza","[ˈɡrattsje per la ˈsuːa paˈtsjɛntsa]","Greetings_Formal"
"Thank you for your understanding","Grazie per la Sua comprensione","[ˈɡrattsje per la ˈsuːa komprenˈsjoːne]","Greetings_Formal"
"Thank you for your support","Grazie per il Suo supporto","[ˈɡrattsje per il ˈsuːo supˈporto]","Greetings_Formal"
"Thank you for your collaboration","Grazie per la Sua collaborazione","[ˈɡrattsje per la ˈsuːa kollaboraˈtsjone]","Greetings_Formal"
"Thank you for your availability","Grazie per la Sua disponibilità","[ˈɡrattsje per la ˈsuːa disponibiliˈta]","Greetings_Formal"
"Thank you for your response","Grazie per la Sua risposta","[ˈɡrattsje per la ˈsuːa riˈposta]","Greetings_Formal"
"Thank you for your invitation","Grazie per il Suo invito","[ˈɡrattsje per il ˈsuːo inˈvito]","Greetings_Formal"
"Thank you for your visit","Grazie per la Sua visita","[ˈɡrattsje per la ˈsuːa ˈvizita]","Greetings_Formal"
"Very pleased (to meet you)","Molto lieto/a","[ˈmolto ˈljɛto / ˈljɛta]","Greetings_Formal"
"The pleasure is mine","Il piacere è mio","[il pjaˈtʃeːre ɛ ˈmio]","Greetings_Formal"
"Fine, thank you. And you?","Bene, grazie. E Lei?","[ˈbɛne ˈɡrattsje e ˈlɛi]","Greetings_Formal"
"Quite well, thank you","Abbastanza bene, grazie","[abbasˈtantsa ˈbɛne ˈɡrattsje]","Greetings_Formal"
"I wish you a good day","Le auguro una buona giornata","[le ˈauɡuro una ˈbwɔna dʒorˈnata]","Greetings_Formal"
"It was a pleasure speaking with you","È stato un piacere parlarLe","[ɛ ˈstato un pjaˈtʃeːre parˈlarle]","Greetings_Formal"