"Term","English Translation / Explanation","Example Sentence (Italian)","Example Sentence (English)","Tags"
"-presente -are endings","present endings for -are verbs (-o,-i,-a,-iamo,-ate,-ano)","Io parlo, tu parli, lui/lei parla; noi parliamo, voi parlate, loro parlano.","I speak, you speak, he/she speaks; we speak, you (pl.) speak", they speak.","A1-Stage4-Pattern"
"parlare","to speak (regular -are)","Parlo italiano.","I speak Italian.","A1-Stage4-Regular"
"lavorare","to work (regular -are)","Lavoriamo in ufficio.","We work in an office.","A1-Stage4-Regular"
"comprare","to buy (regular -are)","Compro frutta al mercato.","I buy fruit at the market.","A1-Stage4-Regular"
"-presente -ere endings","present endings for -ere verbs (-o,-i,-e,-iamo,-ete,-ono)","Io prendo, tu prendi, lui/lei prende; noi prendiamo, voi prendete, loro prendono.","I take, you take, he/she takes; we take, you (pl.) take", they take.","A1-Stage4-Pattern"
"prendere","to take (regular -ere)","Prendo il treno alle otto.","I take the train at eight.","A1-Stage4-Regular"
"leggere","to read (regular -ere)","Leggi il giornale?","Do you read the newspaper?","A1-Stage4-Regular"
"vedere","to see (regular -ere)","Vede la montagna.","He/She sees the mountain.","A1-Stage4-Regular"
"-presente -ire endings (type 1)","present endings for -ire verbs (-o,-i,-e,-iamo,-ite,-ono)","Io dormo, tu dormi, lui/lei dorme; noi dormiamo, voi dormite, loro dormono.","I sleep, you sleep, he/she sleeps; we sleep, you (pl.) sleep", they sleep.","A1-Stage4-Pattern"
"dormire","to sleep (regular -ire)","Dormo otto ore.","I sleep eight hours.","A1-Stage4-Regular"
"aprire","to open (regular -ire)","Apriamo la finestra.","We open the window.","A1-Stage4-Regular"
"-presente -ire (isc) endings","present endings for -ire (isc) verbs (-isco,-isci,-isce,-iamo,-ite,-iscono)","Io capisco, tu capisci, lui/lei capisce; noi capiamo, voi capite, loro capiscono.","I understand, you understand, he/she understands; we understand, you (pl.) understand", they understand.","A1-Stage4-Pattern"
"capire","to understand (-isc)","Capisco la domanda.","I understand the question.","A1-Stage4-Regular"
"finire","to finish (-isc)","Finisco il lavoro alle cinque.","I finish work at five.","A1-Stage4-Regular"
"essere","to be (irregular present)","Sono a casa.","I am at home.","A1-Stage4-Irregular"
"avere","to have (irregular present)","Hai tempo domani?","Do you have time tomorrow?","A1-Stage4-Irregular"
"andare","to go (irregular present)","Vado a casa.","I am going home.","A1-Stage4-Irregular"
"fare","to do/make (irregular present)","Facciamo colazione.","We have breakfast.","A1-Stage4-Irregular"
"stare","to stay/be (irregular present)","Sto bene, grazie.","I am well, thanks.","A1-Stage4-Irregular"
"dare","to give (irregular present)","Do un regalo a Maria.","I give a gift to Maria.","A1-Stage4-Irregular"
"dire","to say (irregular present)","Dico la verità.","I tell the truth.","A1-Stage4-Irregular"
"venire","to come (irregular present)","Vengo da Roma.","I come from Rome.","A1-Stage4-Irregular"
"uscire","to go out (irregular present)","Usciamo stasera?","Are we going out tonight?","A1-Stage4-Irregular"
"potere","can/may (modal + infinitive)","Posso aprire la finestra?","May I open the window?","A1-Stage4-Modal"
"volere","to want (modal + infinitive)","Voglio un caffè, per favore.","I want a coffee, please.","A1-Stage4-Modal"
"dovere","must/have to (modal + infinitive)","Devo studiare.","I have to study.","A1-Stage4-Modal"
"chiamarsi","to be called (reflexive)","Mi chiamo Frank.","My name is Frank.","A1-Stage4-Reflexive"
"alzarsi","to get up (reflexive)","Ci alziamo alle sette.","We get up at seven.","A1-Stage4-Reflexive"
"piacere","to like (impersonal pattern)","Mi piace il tè.","I like tea.","A1-Stage4-Special"