"English","Italian","IPA"
"It's 1:00 PM.","È l'una.","[ɛ ˈluna]"
"It's 2:00 PM.","Sono le due.","[ˈsono le ˈdu.e]"
"It's 3:00 PM.","Sono le tre.","[ˈsono le ˈtrɛ]"
"It's 4:00 PM.","Sono le quattro.","[ˈsono le ˈkwattro]"
"It's 5:00 PM.","Sono le cinque.","[ˈsono le ˈtʃiŋkwe]"
"It's 6:00 PM.","Sono le sei.","[ˈsono le ˈsɛi]"
"It's 7:00 PM.","Sono le sette.","[ˈsono le ˈsɛtte]"
"It's 8:00 PM.","Sono le otto.","[ˈsono le ˈɔtto]"
"It's 9:00 PM.","Sono le nove.","[ˈsono le ˈnɔve]"
"It's 10:00 PM.","Sono le dieci.","[ˈsono le ˈdjɛtʃi]"
"It's 11:00 PM.","Sono le undici.","[ˈsono le ˈunditʃi]"
"It's noon.","È mezzogiorno.","[ɛ mettsodʒorˈno]"
"It's midnight.","È mezzanotte.","[ɛ mettsaˈnɔtte]"
"It's 1:15.","È l'una e un quarto.","[ɛ ˈluna e un ˈkwarto]"
"It's 1:30.","È l'una e mezza.","[ɛ ˈluna e ˈmɛddza]"
"It's 1:45.","Sono le due meno un quarto.","[ˈsono le ˈdu.e ˈmeno un ˈkwarto]"
"It's 2:15.","Sono le due e un quarto.","[ˈsono le ˈdu.e e un ˈkwarto]"
"It's 2:30.","Sono le due e mezza.","[ˈsono le ˈdu.e e ˈmɛddza]"
"It's 2:45.","Sono le tre meno un quarto.","[ˈsono le ˈtrɛ ˈmeno un ˈkwarto]"
"It's 3:15.","Sono le tre e un quarto.","[ˈsono le ˈtrɛ e un ˈkwarto]"
"It's 3:30.","Sono le tre e mezza.","[ˈsono le ˈtrɛ e ˈmɛddza]"
"It's 3:45.","Sono le quattro meno un quarto.","[ˈsono le ˈkwattro ˈmeno un ˈkwarto]"
"It's 4:15.","Sono le quattro e un quarto.","[ˈsono le ˈkwattro e un ˈkwarto]"
"It's 4:30.","Sono le quattro e mezza.","[ˈsono le ˈkwattro e ˈmɛddza]"
"It's 4:45.","Sono le cinque meno un quarto.","[ˈsono le ˈtʃiŋkwe ˈmeno un ˈkwarto]"
"It's 5:15.","Sono le cinque e un quarto.","[ˈsono le ˈtʃiŋkwe e un ˈkwarto]"
"It's 5:30.","Sono le cinque e mezza.","[ˈsono le ˈtʃiŋkwe e ˈmɛddza]"
"It's 5:45.","Sono le sei meno un quarto.","[ˈsono le ˈsɛi ˈmeno un ˈkwarto]"
"It's 6:15.","Sono le sei e un quarto.","[ˈsono le ˈsɛi e un ˈkwarto]"
"It's 6:30.","Sono le sei e mezza.","[ˈsono le ˈsɛi e ˈmɛddza]"
"It's 6:45.","Sono le sette meno un quarto.","[ˈsono le ˈsɛtte ˈmeno un ˈkwarto]"
"It's 7:15.","Sono le sette e un quarto.","[ˈsono le ˈsɛtte e un ˈkwarto]"
"It's 7:30.","Sono le sette e mezza.","[ˈsono le ˈsɛtte e ˈmɛddza]"
"It's 7:45.","Sono le otto meno un quarto.","[ˈsono le ˈɔtto ˈmeno un ˈkwarto]"
"It's 8:15.","Sono le otto e un quarto.","[ˈsono le ˈɔtto e un ˈkwarto]"
"It's 8:30.","Sono le otto e mezza.","[ˈsono le ˈɔtto e ˈmɛddza]"
"It's 8:45.","Sono le nove meno un quarto.","[ˈsono le ˈnɔve ˈmeno un ˈkwarto]"
"It's 9:15.","Sono le nove e un quarto.","[ˈsono le ˈnɔve e un ˈkwarto]"
"It's 9:30.","Sono le nove e mezza.","[ˈsono le ˈnɔve e ˈmɛddza]"
"It's 9:45.","Sono le dieci meno un quarto.","[ˈsono le ˈdjɛtʃi ˈmeno un ˈkwarto]"
"It's 10:15.","Sono le dieci e un quarto.","[ˈsono le ˈdjɛtʃi e un ˈkwarto]"
"It's 10:30.","Sono le dieci e mezza.","[ˈsono le ˈdjɛtʃi e ˈmɛddza]"
"It's 10:45.","Sono le undici meno un quarto.","[ˈsono le ˈunditʃi ˈmeno un ˈkwarto]"
"It's 11:15.","Sono le undici e un quarto.","[ˈsono le ˈunditʃi e un ˈkwarto]"
"It's 11:30.","Sono le undici e mezza.","[ˈsono le ˈunditʃi e ˈmɛddza]"
"It's 11:45.","Sono le dodici meno un quarto.","[ˈsono le ˈdɔditʃi ˈmeno un ˈkwarto]"
"It's 12:15.","Sono le dodici e un quarto.","[ˈsono le ˈdɔditʃi e un ˈkwarto]"
"It's 12:30.","Sono le dodici e mezza.","[ˈsono le ˈdɔditʃi e ˈmɛddza]"
"It's 13:00.","Sono le tredici.","[ˈsono le ˈtreditʃi]"
"It's 13:15.","Sono le tredici e un quarto.","[ˈsono le ˈtreditʃi e un ˈkwarto]"
"It's 13:30.","Sono le tredici e mezza.","[ˈsono le ˈtreditʃi e ˈmɛddza]"
"It's 13:45.","Sono le quattordici meno un quarto.","[ˈsono le kwattorˈditʃi ˈmeno un ˈkwarto]"
"It's 14:00.","Sono le quattordici.","[ˈsono le kwattorˈditʃi]"
"It's 14:15.","Sono le quattordici e un quarto.","[ˈsono le kwattorˈditʃi e un ˈkwarto]"
"It's 14:30.","Sono le quattordici e mezza.","[ˈsono le kwattorˈditʃi e ˈmɛddza]"
"It's 14:45.","Sono le quindici meno un quarto.","[ˈsono le ˈkwinditʃi ˈmeno un ˈkwarto]"
"It's 15:00.","Sono le quindici.","[ˈsono le ˈkwinditʃi]"
"It's 15:15.","Sono le quindici e un quarto.","[ˈsono le ˈkwinditʃi e un ˈkwarto]"
"It's 15:30.","Sono le quindici e mezza.","[ˈsono le ˈkwinditʃi e ˈmɛddza]"
"It's 15:45.","Sono le sedici meno un quarto.","[ˈsono le ˈseditʃi ˈmeno un ˈkwarto]"
"It's 16:00.","Sono le sedici.","[ˈsono le ˈseditʃi]"
"It's 16:15.","Sono le sedici e un quarto.","[ˈsono le ˈseditʃi e un ˈkwarto]"
"It's 16:30.","Sono le sedici e mezza.","[ˈsono le ˈseditʃi e ˈmɛddza]"
"It's 16:45.","Sono le diciassette meno un quarto.","[ˈsono le ditʃasˈsɛtte ˈmeno un ˈkwarto]"
"It's 17:00.","Sono le diciassette.","[ˈsono le ditʃasˈsɛtte]"
"It's 17:15.","Sono le diciassette e un quarto.","[ˈsono le ditʃasˈsɛtte e un ˈkwarto]"
"It's 17:30.","Sono le diciassette e mezza.","[ˈsono le ditʃasˈsɛtte e ˈmɛddza]"
"It's 17:45.","Sono le diciotto meno un quarto.","[ˈsono le ditʃiˈɔtto ˈmeno un ˈkwarto]"
"It's 18:00.","Sono le diciotto.","[ˈsono le ditʃiˈɔtto]"
"It's 18:15.","Sono le diciotto e un quarto.","[ˈsono le ditʃiˈɔtto e un ˈkwarto]"
"It's 18:30.","Sono le diciotto e mezza.","[ˈsono le ditʃiˈɔtto e ˈmɛddza]"
"It's 18:45.","Sono le diciannove meno un quarto.","[ˈsono le ditʃanˈnɔve ˈmeno un ˈkwarto]"
"It's 19:00.","Sono le diciannove.","[ˈsono le ditʃanˈnɔve]"
"It's 19:15.","Sono le diciannove e un quarto.","[ˈsono le ditʃanˈnɔve e un ˈkwarto]"
"It's 19:30.","Sono le diciannove e mezza.","[ˈsono le ditʃanˈnɔve e ˈmɛddza]"
"It's 19:45.","Sono le venti meno un quarto.","[ˈsono le ˈventi ˈmeno un ˈkwarto]"
"It's 20:00.","Sono le venti.","[ˈsono le ˈventi]"
"It's 20:15.","Sono le venti e un quarto.","[ˈsono le ˈventi e un ˈkwarto]"
"It's 20:30.","Sono le venti e mezza.","[ˈsono le ˈventi e ˈmɛddza]"
"It's 20:45.","Sono le ventuno meno un quarto.","[ˈsono le venˈtuːno ˈmeno un ˈkwarto]"
"It's 21:00.","Sono le ventuno.","[ˈsono le venˈtuːno]"
"It's 21:15.","Sono le ventuno e un quarto.","[ˈsono le venˈtuːno e un ˈkwarto]"
"It's 21:30.","Sono le ventuno e mezza.","[ˈsono le venˈtuːno e ˈmɛddza]"
"It's 21:45.","Sono le ventidue meno un quarto.","[ˈsono le ventiˈdue ˈmeno un ˈkwarto]"
"It's 22:00.","Sono le ventidue.","[ˈsono le ventiˈdue]"
"It's 22:15.","Sono le ventidue e un quarto.","[ˈsono le ventiˈdue e un ˈkwarto]"
"It's 22:30.","Sono le ventidue e mezza.","[ˈsono le ventiˈdue e ˈmɛddza]"
"It's 22:45.","Sono le ventitré meno un quarto.","[ˈsono le ventiˈtrɛ ˈmeno un ˈkwarto]"
"It's 23:00.","Sono le ventitré.","[ˈsono le ventiˈtrɛ]"
"It's 23:15.","Sono le ventitré e un quarto.","[ˈsono le ventiˈtrɛ e un ˈkwarto]"
"It's 23:30.","Sono le ventitré e mezza.","[ˈsono le ventiˈtrɛ e ˈmɛddza]"
"It's 23:45.","Sono le ventiquattro meno un quarto.","[ˈsono le ventiˈkwattro ˈmeno un ˈkwarto]"
"It's 24:00.","Sono le ventiquattro.","[ˈsono le ventiˈkwattro]"
"It's 24:15.","Sono le ventiquattro e un quarto.","[ˈsono le ventiˈkwattro e un ˈkwarto]"
"It's 24:30.","Sono le ventiquattro e mezza.","[ˈsono le ventiˈkwattro e ˈmɛddza]"
"A moment ago.","Poco fa.","[ˈpɔːko fa]"
"In a little while.","Tra poco.","[tra ˈpɔːko]"
"Late.","Tardi.","[ˈtardi]"
"Early/Soon.","Presto.","[ˈprɛsto]"
"Out of time.","Fuori tempo.","[ˈfwɔri ˈtɛmpo]"
"Time flies.","Il tempo vola.","[il ˈtɛmpo ˈvoːla]"
"In the nick of time.","Giusto in tempo.","[ˈdʒusto in ˈtɛmpo]"
"Ahead of time.","In anticipo.","[in anˈtiːtʃipo]"
"Around 3pm.","Verso le tre.","[ˈvɛrso le ˈtre]"
"I eat at 1pm.","Mangio all'una.","[ˈmandʒo alˈluːna]"
"I go to bed at 10.","Vado a dormire alle dieci.","[ˈvaːdo a dorˈmire ˈalle ˈdjɛtʃi]"
"I wake up at 7.","Mi sveglio alle sette.","[mi ˈzvɛʎʎo ˈalle ˈsɛtte]"
"I'll see you at 5 o'clock.","Ci vediamo alle cinque.","[tʃi veˈdjaːmo ˈalle ˈtʃiŋkwe]"
"Let's meet around noon.","Ci vediamo verso mezzogiorno.","[tʃi veˈdjaːmo ˈvɛrso ˌmɛddzoˈdʒorno]"
"Do you know what time it is?","Sai che ore sono?","[sai ke ˈoːre ˈsono]"
"What time do you go to sleep?","A che ora vai a dormire?","[a ke ˈoːra ˈvai a dorˈmire]"
"What time is it?","Che ore sono?","[ke ˈoːre ˈsono]"
"What time should we meet?","A che ora ci vediamo?","[a ke ˈoːra tʃi veˈdjaːmo]"
"When does the bus arrive?","Quando arriva l'autobus?","[ˈkwando arˈriːva ˈlautubus]"
"At 5:00.","Alle cinque.","[ˈalle ˈtʃiŋkwe]"
"At 5 sharp.","Alle cinque in punto.","[ˈalle ˈtʃiŋkwe in ˈpunto]"
"At 7:30.","Alle sette e mezza.","[ˈalle ˈsɛtte e ˈmɛddza]"
"Alarm.","Sveglia.","[ˈzvɛʎʎa]"
"Clock.","Orologio.","[oroˈlɔdʒo]"
"Hour hand.","Lancetta delle ore.","[lanˈtʃetta ˈdɛlle ˈoːre]"
"Minute hand.","Lancetta dei minuti.","[lanˈtʃetta dei miˈnuti]"
"Timer.","Timer.","[ˈtaimer]"
"Watch.","Orologio da polso.","[oroˈlɔdʒo da ˈpolso]"
"It takes five minutes.","Ci vogliono cinque minuti.","[tʃi ˈvɔʎʎono ˈtʃiŋkwe miˈnuti]"
"It takes an hour.","Ci vuole un'ora.","[tʃi ˈvwɔle unˈoːra]"
"For two hours.","Per due ore.","[per ˈduːe ˈoːre]"
"In ten minutes.","Fra dieci minuti.","[fra ˈdjɛtʃi miˈnuti]"